product,age_group,gender,state,ry,rydesc,prjtrx
RYBELSUS,40 to 59,MALE,MI,3,Nov 2022 - Oct 2023,21220
RYBELSUS,40 to 59,MALE,OH,1,Nov 2024 - Oct 2025,23385
RYBELSUS,40 to 59,MALE,OH,2,Nov 2023 - Oct 2024,30202
RYBELSUS,40 to 59,MALE,OH,3,Nov 2022 - Oct 2023,27718
RYBELSUS,40 to 59,UNKNOWN,MI,1,Nov 2024 - Oct 2025,3
RYBELSUS,40 to 59,UNKNOWN,MI,3,Nov 2022 - Oct 2023,6
RYBELSUS,40 to 59,UNKNOWN,OH,2,Nov 2023 - Oct 2024,3
RYBELSUS,60 to 64,FEMALE,MI,1,Nov 2024 - Oct 2025,6957
RYBELSUS,60 to 64,FEMALE,MI,2,Nov 2023 - Oct 2024,8490
RYBELSUS,60 to 64,FEMALE,MI,3,Nov 2022 - Oct 2023,7662
RYBELSUS,60 to 64,FEMALE,OH,1,Nov 2024 - Oct 2025,8893
RYBELSUS,60 to 64,FEMALE,OH,2,Nov 2023 - Oct 2024,11622
RYBELSUS,60 to 64,FEMALE,OH,3,Nov 2022 - Oct 2023,10102
RYBELSUS,60 to 64,MALE,MI,1,Nov 2024 - Oct 2025,8350
RYBELSUS,60 to 64,MALE,MI,2,Nov 2023 - Oct 2024,9895
RYBELSUS,60 to 64,MALE,MI,3,Nov 2022 - Oct 2023,9025
RYBELSUS,60 to 64,MALE,OH,1,Nov 2024 - Oct 2025,10797
RYBELSUS,60 to 64,MALE,OH,2,Nov 2023 - Oct 2024,12761
RYBELSUS,60 to 64,MALE,OH,3,Nov 2022 - Oct 2023,11226
RYBELSUS,60 to 64,UNKNOWN,MI,2,Nov 2023 - Oct 2024,3
RYBELSUS,60 to 64,UNKNOWN,MI,3,Nov 2022 - Oct 2023,3
RYBELSUS,65 to 74,FEMALE,MI,1,Nov 2024 - Oct 2025,15473
RYBELSUS,65 to 74,FEMALE,MI,2,Nov 2023 - Oct 2024,16015
RYBELSUS,65 to 74,FEMALE,MI,3,Nov 2022 - Oct 2023,12643
RYBELSUS,65 to 74,FEMALE,OH,1,Nov 2024 - Oct 2025,17084
RYBELSUS,65 to 74,FEMALE,OH,2,Nov 2023 - Oct 2024,18703
RYBELSUS,65 to 74,FEMALE,OH,3,Nov 2022 - Oct 2023,14163
RYBELSUS,65 to 74,MALE,MI,1,Nov 2024 - Oct 2025,15901
RYBELSUS,65 to 74,MALE,MI,2,Nov 2023 - Oct 2024,16063
RYBELSUS,65 to 74,MALE,MI,3,Nov 2022 - Oct 2023,12394
RYBELSUS,65 to 74,MALE,OH,1,Nov 2024 - Oct 2025,18069
RYBELSUS,65 to 74,MALE,OH,2,Nov 2023 - Oct 2024,18700
RYBELSUS,65 to 74,MALE,OH,3,Nov 2022 - Oct 2023,13968
RYBELSUS,65 to 74,UNKNOWN,OH,3,Nov 2022 - Oct 2023,0
RYBELSUS,75 to 84,FEMALE,MI,1,Nov 2024 - Oct 2025,8022
RYBELSUS,75 to 84,FEMALE,MI,2,Nov 2023 - Oct 2024,7009
RYBELSUS,75 to 84,FEMALE,MI,3,Nov 2022 - Oct 2023,4827
RYBELSUS,75 to 84,FEMALE,OH,1,Nov 2024 - Oct 2025,7578
RYBELSUS,75 to 84,FEMALE,OH,2,Nov 2023 - Oct 2024,7081
RYBELSUS,75 to 84,FEMALE,OH,3,Nov 2022 - Oct 2023,4466
RYBELSUS,75 to 84,MALE,MI,1,Nov 2024 - Oct 2025,7421
RYBELSUS,75 to 84,MALE,MI,2,Nov 2023 - Oct 2024,6538
RYBELSUS,75 to 84,MALE,MI,3,Nov 2022 - Oct 2023,4310
RYBELSUS,75 to 84,MALE,OH,1,Nov 2024 - Oct 2025,6686
RYBELSUS,75 to 84,MALE,OH,2,Nov 2023 - Oct 2024,6179
RYBELSUS,75 to 84,MALE,OH,3,Nov 2022 - Oct 2023,4141
RYBELSUS,85+,FEMALE,MI,1,Nov 2024 - Oct 2025,1329
RYBELSUS,85+,FEMALE,MI,2,Nov 2023 - Oct 2024,1159
RYBELSUS,85+,FEMALE,MI,3,Nov 2022 - Oct 2023,828
RYBELSUS,85+,FEMALE,OH,1,Nov 2024 - Oct 2025,1222
RYBELSUS,85+,FEMALE,OH,2,Nov 2023 - Oct 2024,1049
RYBELSUS,85+,FEMALE,OH,3,Nov 2022 - Oct 2023,597
RYBELSUS,85+,MALE,MI,1,Nov 2024 - Oct 2025,1290
RYBELSUS,85+,MALE,MI,2,Nov 2023 - Oct 2024,1057
RYBELSUS,85+,MALE,MI,3,Nov 2022 - Oct 2023,703
RYBELSUS,85+,MALE,OH,1,Nov 2024 - Oct 2025,1130
RYBELSUS,85+,MALE,OH,2,Nov 2023 - Oct 2024,906
RYBELSUS,85+,MALE,OH,3,Nov 2022 - Oct 2023,518
